channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCJFZiqLMntJufDCHc6bQixg,hololive ホロライブ - VTuber Group,Hololive VTuber Group,Hololive,,1720000,455,https://yt3.ggpht.com/ytc/AKedOLShj3wK6CEmow693uwoMqS7yj09e3AvtdrIRsXHQw=s800-c-k-c0x00ffffff-no-rj
UCfrWoRGlawPQDQxxeIDRP0Q,hololive Indonesia,Hololive Indonesia,Hololive,,306000,67,https://yt3.ggpht.com/ytc/AKedOLQMVO-nqdgHS1Fht9IRSWPC99g-EYsGum8tSVmDFQ=s800-c-k-c0x00ffffff-no-rj
UCotXwY6s8pWmuWd_snKYjhg,hololive English,Hololive English,Hololive,,494000,19,https://yt3.ggpht.com/ytc/AKedOLQGbQmuzLspD-AWRcyeaOj5WdroBC507C31D0kTfw=s800-c-k-c0x00ffffff-no-rj
UCWsfcksUUpoEvhia0_ut0bA,holostars ホロスターズ - VTuber Group,Holostars Official,Hololive,,184000,123,https://yt3.ggpht.com/5Jn_OHkOZhZssXXwWopUQZVwnL16EJivvxTDGqVmp4Cah3nLmVTgZMQmfF-SyuMhtFkncyT9Lw=s800-c-k-c0x00ffffff-no-rj
UCp6993wxpyDPHUpavwDFqgg,SoraCh. ときのそらチャンネル,Tokino Sora,Hololive,,975000,622,https://yt3.ggpht.com/ytc/AKedOLRo4fRoifdnGRyvGIOVxiumNdD5MXweEPHLO_SBrA=s800-c-k-c0x00ffffff-no-rj-mo
UCutuOO0MBRhlvUclzFMaO0g,CyberLive,CyberLive,CyberLive,CyberLive,3730,7,https://yt3.ggpht.com/LrjqdW8QJvtY7F_rlvll6YQZFh2ou4tpt3I5yv88A-2CIyotjTA6_dQoaSkm63vhLcPUF4TJKA=s800-c-k-c0x00ffffff-no-rj
UC2hWFlqMew61Jy6A8zu5HzQ,Iku Hoshifuri / 星降いく [PRISM Project],Hoshifuri Iku,PRISM,Generation1,48900,396,https://yt3.ggpht.com/ytc/AKedOLQcNkTIuDKxsJDhlBcNIarpMqEfJvYhNB_AZA8g=s800-c-k-c0x00ffffff-no-rj
UCRWF6QSuklmwY3UJHyVTQ1w,Aoi Tokimori / 時守あおい [PRISM Project],Tokimori Aoi,PRISM,Generation1,20700,306,https://yt3.ggpht.com/ytc/AKedOLQJfaoU-lfq1ydmcXbbTNtXDav_VMP-wmLBcEEJ=s800-c-k-c0x00ffffff-no-rj
UCZfQRuwSLty74QAj55BaKlA,Meno Ibuki / 伊吹めの [PRISM Project],Ibuki Meno,PRISM,Generation1,17500,464,https://yt3.ggpht.com/ytc/AKedOLQIh0u6xUZOWWbNorUAdCX83lhDlUK1MnAj1IEh=s800-c-k-c0x00ffffff-no-rj
UCBJFsaCvgBa1a9BnEaxu97Q,Rita Kamishiro / 神代りた [PRISM Project],Kamishiro Rita,PRISM,Generation2,24500,314,https://yt3.ggpht.com/ytc/AKedOLSynnltzn-1TJLPmbLKEM-5USgPt9zxNQO-ks1k=s800-c-k-c0x00ffffff-no-rj
